idx;T_hot_K;Fire;Time_s;Note
1;575,0;false;0,0010001659393310547;Nx=201, Ny=201, dx=0.001 m, dt=0.01 s, tmax=30 s, geometry=plane, initial_sit=line, R_hot=0.0005 m, material =RDX
2;687,5;true;0,0009999275207519531;
3;631,25;true;0,02200007438659668;
4;603,125;false;0,0009999275207519531;
5;617,1875;true;0,0009999275207519531;
6;610,15625;false;0,0009999275207519531;
7;613,671875;true;0,018000125885009766;
8;611,9140625;false;2,0209999084472656;
9;612,79296875;true;0,024000167846679688;
10;612,353515625;true;0,031999826431274414;
11;612,1337890625;true;0,042999982833862305;
12;612,02392578125;true;0,06300020217895508;
13;611,968994140625;false;2,0149998664855957;
14;611,9964599609375;false;2,062999963760376;
15;612,0101928710938;true;0,0820000171661377;
16;612,0033264160156;false;2,0269999504089355;
